rank,airport,location,country,code_iata_icao,total_passengers,change
1,Hartsfield-Jackson Atlanta International Airport,Atlanta GA,USA,ATL,101491106,5.52
2,Beijing Capital International Airport,Beijing,China (People's Republic of China),PEK,89938628,4.42
3,Dubai International Airport,Dubai,United Arab Emirates,DXB,78014841,10.7
4,O'Hare International Airport,Chicago IL,USA,ORD,76949504,9.81
5,Tokyo International (Haneda) Airport,Tokyo,Japan,HND,75573106,3.77
6,Heathrow Airport,London,United Kingdom,LHR,74989795,2.15
7,Los Angeles International Airport,Los Angeles CA,USA,LAX,74937004,6.05
8,Hong Kong International Airport,Hong Kong,"Hong Kong, China",HKG,68283407,8.18
9,Aéroport de Paris-Charles de Gaulle,Paris,France,CDG,65766986,3.06
10,Dallas/Ft Worth International Airport,Dallas/Fort Worth TX,USA,DFW,65512163,2.55
11,Atatürk International Airport,Istanbul,Turkey,IST,61346229,8.16
12,Flughafen Frankfurt/Main,Frankfurt,Germany,FRA,61032022,2.46
13,Pudong International Airport,Shanghai,China (People's Republic of China),PVG,60098073,16.27
14,Amsterdam Airport,Amsterdam,Netherlands,AMS,58284864,6.01
15,John F. Kennedy International Airport,New York NY,USA,JFK,56827154,6.78
16,Singapore Changi Airport,Singapore,Singapore,SIN,55449000,2.51
17,Guangzhou Bai Yun International Airport,Guangzhou,China (People's Republic of China),CAN,55201915,0.77
18,Soekarno-Hatta International Airport,Jakarta,Indonesia,CGK,54089062,-5.47
19,Denver International Airport,Denver CO,USA,DEN,54014502,1.01
20,Suvarnabhumi International Airport,Bangkok,Thailand,BKK,52902110,13.96
21,San Francisco International Airport,San Francisco CA,USA,SFO,50057887,6.25
22,Incheon International Airport,Incheon,Korea (Rep of Korea),ICN,49412750,8.21
23,KL International Airport,Kuala Lumpur,Malaysia,KUL,48938424,0.02
24,Aeropuerto de Adolfo Suárez Madrid-Barajas,Madrid,Spain,MAD,46779554,11.97
25,Indira Gandhi International Airport,New Delhi,India,DEL,45981773,15.67
26,McCarran International Airport,Las Vegas NV,USA,LAS,45443900,5.75
27,Charlotte Douglas International Airport,Charlotte NC,USA,CLT,44876627,1.35
28,Miami International Airport,Miami FL,USA,MIA,44350247,8.32
29,Sky Harbor International Airport,Phoenix AZ,USA,PHX,44003840,4.51
30,George Bush Intercontinental Airport,Houston TX,USA,IAH,43023224,4.29
31,Seattle-Tacoma International Airport,Seattle WA,USA,SEA,42340537,12.91
32,Chengdu Shuangliu International Airport,Chengdu,China (People's Republic of China),CTU,42244842,12.02
33,Toronto Pearson International Airport,Toronto ON,Canada,YYZ,41036847,6.39
34,Munich Airport,Munich,Germany,MUC,40981522,3.23
35,Chhatrapati Shivaji International Airport,Mumbai,India,BOM,40637377,16.13
36,Aeroporto di Roma-Fiumicino,Rome,Italy,FCO,40422156,4.97
37,Gatwick Airport,London,United Kingdom,LGW,40269087,5.65
38,Sydney International Airport,Sydney,Australia,SYD,39915674,2.69
39,Shenzhen Baoan International Airport,Shenzhen,China (People's Republic of China),SZX,39721619,9.51
40,Aeropuerto de Barcelona-El Prat,Barcelona,Spain,BCN,39674095,5.74
41,Guarulhos International Airport,São Paulo,Brazil,GRU,39213865,-1.39
42,Hongqiao International Airport,Shanghai,China (People's Republic of China),SHA,39090865,2.95
43,Orlando International Airport,Orlando FL,USA,MCO,38727749,8.44
44,Taiwan Taoyuan International Airport,Taipei,Chinese Taipei,TPE,38473333,7.45
45,"Aeropuerto Internacional de la Ciudad de México ""Lic Benito Juárez""",Mexico City,Mexico,MEX,38433288,12.2
46,Kunming International Airport,Kunming,China (People's Republic of China),KMG,37523220,15.99
47,Newark Liberty International Airport,Newark NJ,USA,EWR,37494704,5.29
48,Narita International Airport,Tokyo,Japan,NRT,37268307,4.88
49,Ninoy Aquino International Airport,Manila,Philippines,MNL,36583459,7.31
50,Minneapolis/St Paul International Airport,Minneapolis MN,USA,MSP,36582854,4.09
