rank,airport,location,code_iata_icao,total_passengers,change
1,Dubai International Airport,DUBAI,DXB,77453466,10.7
2,Heathrow Airport,LONDON,LHR,69816491,2.5
3,Hong Kong International Airport,HONG KONG,HKG,68139897,8.3
4,Aéroport de Paris-Charles de Gaulle,PARIS,CDG,60369798,3
5,Amsterdam Airport,AMSTERDAM,AMS,58245545,6
6,Singapore Changi Airport,SINGAPORE,SIN,54835000,2.9
7,Flughafen Frankfurt/Main,FRANKFURT,FRA,53994154,2.4
8,Incheon International Airport,INCHEON,ICN,48720319,8.5
9,Suvarnabhumi International Airport,BANGKOK,BKK,43251807,16.3
10,Atatürk International Airport,ISTANBUL,IST,42302859,11.1
11,Taiwan Taoyuan International Airport,TAIPEI,TPE,38103889,7.6
12,Gatwick Airport,LONDON,LGW,36667769,6.4
13,KL International Airport,KUALA LUMPUR,KUL,34434015,0
14,Aeropuerto de Adolfo Suárez Madrid-Barajas,MADRID,MAD,33787171,14.1
15,Munich Airport,MUNICH,MUC,31313329,3.5
16,Hamad International Airport,DOHA,DOH,30906303,17.3
17,Narita International Airport,TOKYO,NRT,30547564,3.2
18,John F. Kennedy International Airport,NEW YORK NY,JFK,30017244,6.2
19,Aeropuerto de Barcelona-El Prat,BARCELONA,BCN,29077820,6.7
20,Aeroporto di Roma-Fiumicino,ROME,FCO,28280267,5.4
21,Flughafen Zürich,ZURICH,ZRH,25613593,3.1
22,Toronto Pearson International Airport,TORONTO ON,YYZ,25123887,7.6
23,Dublin Airport,DUBLIN,DUB,24876506,14.9
24,Copenhagen Airport,COPENHAGEN,CPH,24639122,4.4
25,Pudong International Airport,SHANGHAI,PVG,23384559,18.3
26,Brussels Airport,BRUSSELS,BRU,23225980,6.9
27,Abu Dhabi International Airport,ABU DHABI,AUH,22841994,18.6
28,Vienna International Airport,VIENNA,VIE,22147203,1.5
29,Miami International Airport,MIAMI FL,MIA,21206557,5.5
30,Antalya International Airport,ANTALYA,AYT,20786255,-5.8
